Act Date,Station ID,LatDeg,LatMin,LatSec,LongDeg,LongMin,LongSec,Chlorophyll-a (ug/L),DO(mg/l),Fecal Coliform (cfu/100ml),"Nitrogen, Kjeldahl (mg/L)",Nitrite (NO2) + Nitrate (NO3) as N,"Nitrogen, ammonia (NH3) as NH3 (mg/L)","Nitrogen, ammonia as N (mg/L)",Oxidation reduction potential (ORP) (mV),Phosphorus as P (mg/L),"Phosphorus, orthophosphate as P(mg/L)","Phosphorus, orthophosphate as PO4 (mg/L)","Phosphorus, phosphate (PO4) as P(mg/L)",Salinity(ppt),Secchi Depth(m),Specific conductance(umho/cm),"Temperature, air deg C",Temperature (deg cels),Turbidity(NTU),"Wind direction (direction from, expressed 0-360 deg)",Wind velocity,pH,ATemp_max,ATemp_max_1dlag,ATemp_max_2dlag,ATemp_max_3dlag,ATemp_max_4dlag,ATemp_max_5dlag,ATemp_max_6dlag,ATemp_max_7dlag
3/22/2017,330100A7,30,27,14.47,87,21,32.6,4.2,9.5,,0.33,0.071,,0.008,,0.019,,,,6.8,,11837,,24.9,4.2,,,7.7,,,,,,,,
3/23/2015,330100A7,30,27,14.47,87,21,32.6,5.2,8.9,120,0.44,0.059,,0.041,,0.021,,,,5.2,,9209,,24,5.1,,,,,,,,,,,
3/25/2014,330100A7,30,27,14.47,87,21,32.6,4.3,6.53,32,0.41,0.098,,0.026,,0.02,,,,2.22,,4165,,17.1,5.2,,,,18.88888889,17.77777778,25.55555556,21.66666667,22.22222222,22.77777778,19.44444444,15
3/29/2011,330100A7,30,27,14.47,87,21,32.6,13,11.33,108,0.52,0.036,,0.011,,0.028,,,,3.43,,6250,22.5,22.74,4.2,139,1,8.14,,,,26.66666667,21.66666667,29.44444444,27.22222222,25
5/25/2010,330100A7,30,27,14.47,87,21,32.6,36,7,5,0.47,*Non-detect,,0.015,,0.037,,,,1.42,,2758,36.2,28.43,4.8,174,4,6.97,30.55555556,35,32.77777778,30.55555556,30,29.44444444,28.88888889,30.55555556
5/29/2012,330100A7,30,27,14.47,87,21,32.6,61,9.36,4,0.82,*Non-detect,,*Non-detect,,0.055,,,,12.61,,21221,33.4,31.85,4.8,215,1,7.88,33.88888889,33.33333333,33.33333333,35,32.77777778,29.44444444,30,28.33333333
6/4/2013,330100A7,30,27,14.47,87,21,32.6,6.8,7.18,*Non-detect,0.41,0.012,,0.009,,0.011,,,,7.39,,12953,28.9,30.48,2.9,176,10.1,7.61,30.55555556,30.55555556,30.55555556,30.55555556,29.44444444,29.44444444,30,28.88888889
6/7/2016,330100A7,30,27,14.47,87,21,32.6,11,7.9,26,0.44,0.023,,0.002,,0.022,,,,6.8,,11940,,29.2,2.9,,,7.5,,,,,,,,
6/28/2011,330100A7,30,27,14.47,87,21,32.6,18,7.55,15,0.74,0.014,,*Non-detect,,0.033,,,,6.85,,12091,31.1,31.56,6.2,200,1,7.69,35.55555556,36.11111111,35,33.88888889,34.44444444,35,35,35
8/14/2012,330100A7,30,27,14.47,87,21,32.6,10,6.99,104,0.92,0.12,,0.076,,0.044,,,,2.51,,4732,,28.97,8.8,,,7.31,31.11111111,31.11111111,31.66666667,29.44444444,31.11111111,31.11111111,30.55555556,31.11111111
9/9/2014,330100A7,30,27,14.47,87,21,32.6,18,3.85,44,0.69,0.013,,*Non-detect,,0.015,,,,7.89,,13726,,28.37,5.2,,,,31.66666667,30.55555556,32.77777778,33.33333333,31.66666667,30.55555556,33.88888889,32.77777778
9/10/2013,330100A7,30,27,14.47,87,21,32.6,25,3.87,8,0.71,0.011,,0.003,,0.042,,,,5.66,,10130,,30.33,7,,,,31.11111111,32.22222222,31.11111111,32.22222222,31.66666667,31.66666667,31.11111111,31.66666667
9/14/2016,330100A7,30,27,14.47,87,21,32.6,4.5,5.5,*Non-detect,0.6,0.007,,*Non-detect,,0.049,,,,13.3,,22254,,30.1,5.4,,,8,,,,,,,,
